,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
135,PR Reiffel (AUS),7,92,92,4732,3096,106,29.2,3.92,44.6,5,0,1992,1999,4,13
136,UT Yadav (INDIA),8,75,73,3558,3565,106,33.63,6.01,33.5,4,0,2010,2018,4,31
137,GW Flower (ZIM),18,221,156,5462,4225,104,40.62,4.64,52.5,2,0,1992,2010,4,32
138,WB Rankin (ENG/IRE),12,73,71,3600,2893,104,27.81,4.82,34.6,4,0,2007,2019,4,15
139,GP Swann (ENG),13,79,76,3809,2888,104,27.76,4.54,36.6,3,1,2000,2013,5,28
140,JJ Bumrah (INDIA),3,58,58,3009,2254,103,21.88,4.49,29.2,5,1,2016,2019,5,27
141,DK Lillee (AUS),11,63,63,3593,2145,103,20.82,3.58,34.8,5,1,1972,1983,5,34
142,C Pringle (NZ),5,64,64,3314,2459,103,23.87,4.45,32.1,2,1,1990,1995,5,45
143,ST Finn (ENG),6,69,67,3550,2996,102,29.37,5.06,34.8,4,2,2011,2017,5,33
144,E Chigumbura (Afr/ZIM),14,213,132,4339,4274,101,42.31,5.91,42.9,1,0,2004,2018,4,28
145,WKM Benjamin (WI),9,85,85,4442,3079,100,30.79,4.15,44.4,0,1,1986,1995,5,22
146,SC Ganguly (Asia/INDIA),15,311,171,4561,3849,100,38.49,5.06,45.6,1,2,1992,2007,5,16
147,RA Harper (WI),13,105,99,5175,3431,100,34.31,3.97,51.7,3,0,1983,1996,4,40
148,CK Langeveldt (SA),9,72,71,3489,2962,100,29.62,5.09,34.8,1,2,2001,2010,5,39
149,RW Price (ZIM),10,102,99,5374,3575,100,35.75,3.99,53.7,1,0,2002,2012,4,22
150,NJ Astle (NZ),12,223,159,4850,3809,99,38.47,4.71,48.9,1,0,1995,2007,4,43
151,Kuldeep Yadav (INDIA),2,56,54,2952,2455,99,24.79,4.98,29.8,4,1,2017,2019,6,25
152,CJ McKay (AUS),5,59,59,2965,2364,97,24.37,4.78,30.5,4,2,2009,2014,5,28
153,PL Taylor (AUS),5,83,80,3937,2740,97,28.24,4.17,40.5,1,0,1987,1992,4,38
154,N Boje (Afr/SA),10,115,108,4541,3415,96,35.57,4.51,47.3,2,1,1995,2005,5,21
155,PJ Cummins (AUS),8,58,58,3033,2603,96,27.11,5.14,31.5,5,1,2011,2019,5,70
156,JP Faulkner (AUS),4,69,67,3211,2962,96,30.85,5.53,33.4,4,0,2013,2017,4,32
157,V Sehwag (Asia/ICC/INDIA),14,251,146,4392,3853,96,40.13,5.26,45.7,1,0,1999,2013,4,6
158,PA Strang (ZIM),7,95,89,4351,3173,96,33.05,4.37,45.3,2,2,1994,2001,5,21
159,TL Chatara (ZIM),6,70,70,3431,2905,95,30.57,5.08,36.1,1,0,2013,2019,4,33
160,PS de Villiers (SA),5,83,82,4422,2636,95,27.74,3.57,46.5,2,0,1992,1997,4,27
161,AJ Hall (SA),8,88,78,3341,2515,95,26.47,4.51,35.1,3,1,1999,2007,5,18
162,WD Parnell (SA),8,65,61,2911,2738,94,29.12,5.64,30.9,3,2,2009,2017,5,48
163,SO Tikolo (Afr/KENYA),18,135,99,4016,3215,94,34.2,4.8,42.7,2,0,1996,2014,4,41
164,LL Tsotsobe (SA),4,61,60,2964,2347,94,24.96,4.75,31.5,7,0,2009,2013,4,22
165,MJ Henry (NZ),5,52,50,2703,2437,92,26.48,5.4,29.3,7,2,2014,2019,5,30
166,SP Narine (WI),5,65,65,3540,2435,92,26.46,4.12,38.4,4,2,2011,2016,6,27
167,AC Cummins (CAN/WI),16,76,74,3767,2877,91,31.61,4.58,41.3,2,1,1991,2007,5,31
168,CB Mpofu (ZIM),15,83,82,3900,3513,91,38.6,5.4,42.8,2,1,2004,2019,6,52
169,BP Patterson (WI),7,59,58,3050,2206,90,24.51,4.33,33.8,1,1,1986,1993,6,29
170,BL Cairns (NZ),11,78,75,4015,2717,89,30.52,4.06,45.1,2,1,1974,1985,5,28
171,GH Dockrell (IRE),9,87,85,4232,3327,89,37.38,4.71,47.5,4,0,2010,2019,4,24
172,Saleem Malik (PAK),17,283,120,3505,2959,89,33.24,5.06,39.3,1,1,1982,1999,5,35
173,MN Samuels (WI),18,207,134,5091,4127,89,46.37,4.86,57.2,0,0,2000,2018,3,12
174,TM Alderman (AUS),10,65,65,3371,2056,88,23.36,3.65,38.3,1,2,1981,1991,5,17
175,GF Lawson (AUS),9,79,79,4259,2592,88,29.45,3.65,48.3,1,0,1980,1989,4,26
176,GJ Whittall (ZIM),10,147,112,4060,3481,88,39.55,5.14,46.1,1,0,1993,2003,4,35
177,AME Roberts (WI),8,56,56,3123,1771,87,20.35,3.4,35.8,2,1,1975,1983,5,22
178,MM Patel (INDIA),5,70,67,3154,2603,86,30.26,4.95,36.6,3,0,2006,2011,4,29
179,Aamer Sohail (PAK),10,156,125,4836,3703,85,43.56,4.59,56.8,1,0,1990,2000,4,22
180,YS Chahal (INDIA),3,50,49,2659,2246,85,26.42,5.06,31.2,2,2,2016,2019,6,42
181,IJ Harvey (AUS),7,73,70,3279,2577,85,30.31,4.71,38.5,4,0,1997,2004,4,16
182,RM Hogg (AUS),6,71,67,3677,2418,85,28.44,3.94,43.2,5,0,1979,1985,4,29
183,JR Ratnayeke (SL),8,78,76,3573,2866,85,33.71,4.81,42.0,1,0,1982,1990,4,23
184,ME Waugh (AUS),14,244,120,3687,2938,85,34.56,4.78,43.3,1,1,1988,2002,5,24
185,MM Ali (ENG),5,101,95,4654,4089,84,48.67,5.27,55.4,1,0,2014,2019,4,46
186,CD Collymore (WI),8,84,80,4074,2924,83,35.22,4.3,49.0,1,1,1999,2007,5,51
187,Mohammad Irfan (PAK),6,60,60,3109,2549,83,30.71,4.91,37.4,2,0,2010,2016,4,30
188,PV Simmons (WI),12,143,103,3880,2876,83,34.65,4.44,46.7,2,0,1987,1999,4,3
189,Hasan Ali (PAK),3,53,51,2548,2381,82,29.03,5.6,31.0,1,3,2016,2019,5,34
190,MJ McClenaghan (NZ),3,48,45,2336,2313,82,28.2,5.94,28.4,6,1,2013,2016,5,58
191,CG Rackemann (AUS),8,52,52,2791,1833,82,22.35,3.94,34.0,3,1,1983,1991,5,16
192,JEC Franklin (NZ),12,110,97,3848,3354,81,41.4,5.22,47.5,0,1,2001,2013,5,42
193,Mohammad Amir (PAK),10,61,60,3013,2400,81,29.62,4.77,37.1,1,1,2009,2019,5,30
194,DJG Sammy (WI),11,126,119,4956,3851,81,47.54,4.66,61.1,1,0,2004,2015,4,26
195,RGD Willis (ENG),11,64,64,3595,1968,80,24.6,3.28,44.9,4,0,1973,1984,4,11
196,CR Matthews (SA),6,56,55,3003,1975,79,25.0,3.94,38.0,3,0,1991,1997,4,10
197,A Ranatunga (SL),17,269,135,4710,3757,79,47.55,4.78,59.6,1,0,1982,1999,4,14
198,AJ Bichel (AUS),7,67,66,3257,2463,78,31.57,4.53,41.7,1,2,1997,2004,7,20
199,IDR Bradshaw (WI),3,62,62,3172,2299,78,29.47,4.34,40.6,0,0,2004,2007,3,15
200,PJ Ongondo (Afr/KENYA),12,79,79,3102,2350,78,30.12,4.54,39.7,1,1,1999,2011,5,51
201,RMH Binny (INDIA),7,72,67,2957,2260,77,29.35,4.58,38.4,3,0,1980,1987,4,29
202,Iftikhar Anjum (PAK),6,62,60,2960,2430,77,31.55,4.92,38.4,2,1,2004,2010,5,30
203,P Kumar (INDIA),5,68,67,3242,2774,77,36.02,5.13,42.1,3,0,2007,2012,4,31
204,R McLaren (SA),5,54,51,2403,2102,77,27.29,5.24,31.2,5,0,2009,2014,4,19
205,JE Emburey (ENG),13,61,61,3425,2346,76,30.86,4.1,45.0,2,0,1980,1993,4,37
206,SJ Harmison (ENG),7,58,57,2899,2481,76,32.64,5.13,38.1,2,1,2002,2009,5,33
207,RD King (WI),7,50,50,2603,1807,76,23.77,4.16,34.2,2,0,1998,2005,4,25
208,Mahmudullah (BDESH),12,185,134,4090,3527,76,46.4,5.17,53.8,0,0,2007,2019,3,4
209,RJ Ratnayake (SL),11,70,70,3575,2712,76,35.68,4.55,47.0,1,1,1982,1993,5,32
210,GB Brent (ZIM),12,70,69,3390,2776,75,37.01,4.91,45.2,3,0,1996,2008,4,22
211,RJ Peterson (SA),12,79,74,3278,2680,75,35.73,4.9,43.7,3,0,2002,2014,4,12
212,S Sreesanth (INDIA),6,53,52,2476,2508,75,33.44,6.07,33.0,2,1,2005,2011,6,55
213,HMRKB Herath (SL),11,71,67,3242,2362,74,31.91,4.37,43.8,1,0,2004,2015,4,20
214,TJ Murtagh (IRE),7,58,57,3020,2290,74,30.94,4.54,40.8,4,1,2012,2019,5,21
215,W Watson (NZ),8,61,61,3251,2247,74,30.36,4.14,43.9,1,0,1986,1994,4,27
216,AR Border (AUS),15,273,87,2661,2071,73,28.36,4.66,36.4,0,0,1979,1994,3,20
217,RS Kalpage (SL),7,86,81,3960,2975,73,40.75,4.5,54.2,2,0,1992,1999,4,36
218,S Madan Lal (INDIA),13,67,64,3164,2137,73,29.27,4.05,43.3,2,0,1974,1987,4,20
219,J Botha (Afr/SA),7,78,75,3823,2916,72,40.5,4.57,53.0,1,0,2005,2012,4,19
220,GS Chappell (AUS),12,74,67,3108,2097,72,29.12,4.04,43.1,0,2,1971,1983,5,15
221,JR Hazlewood (AUS),8,44,43,2294,1811,72,25.15,4.73,31.8,1,3,2010,2018,6,52
222,PL Symcox (SA),6,80,80,3991,2762,72,38.36,4.15,55.4,1,0,1993,1999,4,28
223,DBL Powell (WI),7,55,55,2850,2239,71,31.53,4.71,40.1,2,0,2002,2009,4,27
224,Sohail Tanvir (PAK),7,62,60,2949,2566,71,36.14,5.22,41.5,3,1,2007,2014,5,48
225,SC Williams (ZIM),14,131,107,4080,3300,71,46.47,4.85,57.4,1,0,2005,2019,4,43
226,EA Brandes (ZIM),12,59,59,2828,2266,70,32.37,4.8,40.4,1,2,1987,1999,5,28
227,BM McMillan (SA),7,78,75,3623,2589,70,36.98,4.28,51.7,1,0,1991,1998,4,32
228,NN Odhiambo (KENYA),8,69,67,2808,2585,70,36.92,5.52,40.1,1,0,2006,2014,4,61
229,AD Russell (WI),8,56,55,2290,2229,70,31.84,5.84,32.7,5,0,2011,2019,4,35
230,BA Stokes (ENG),8,95,80,2912,2920,70,41.71,6.01,41.6,1,1,2011,2019,5,61
231,AR Caddick (ENG),10,54,53,2937,1965,69,28.47,4.01,42.5,3,0,1993,2003,4,19
232,JP Duminy (SA),15,199,135,3513,3143,69,45.55,5.36,50.9,1,0,2004,2019,4,16
233,SB Joshi (INDIA),5,69,67,3386,2509,69,36.36,4.44,49.0,1,1,1996,2001,5,6
234,MJ Santner (NZ),4,69,64,3079,2510,69,36.37,4.89,44.6,0,1,2015,2019,5,50
235,Shafiul Islam (BDESH),9,59,59,2486,2453,69,35.55,5.92,36.0,4,0,2010,2019,4,21
236,RP Singh (INDIA),6,58,57,2565,2343,69,33.95,5.48,37.1,2,0,2005,2011,4,35
237,RR Singh (INDIA),12,136,117,3734,2985,69,43.26,4.79,54.1,0,2,1989,2001,5,22
238,CPH Ramanayake (SL),9,62,62,2864,2049,68,30.13,4.29,42.1,1,0,1986,1995,4,17
239,HA Varaiya (KENYA),8,63,60,2951,2048,68,30.11,4.16,43.3,2,0,2006,2014,4,25
240,MA Ealham (ENG),5,64,62,3227,2197,67,32.79,4.08,48.1,1,2,1996,2001,5,15
241,LH Ferguson (NZ),3,36,36,1902,1719,67,25.65,5.42,28.3,2,1,2016,2019,5,45
242,JR Hopes (AUS),5,84,75,3157,2384,67,35.58,4.53,47.1,0,1,2005,2010,5,14
243,MS Kasprowicz (AUS),10,43,42,2225,1674,67,24.98,4.51,33.2,1,2,1995,2005,5,45
244,Khaled Mahmud (BDESH),8,77,75,3385,2865,67,42.76,5.07,50.5,1,0,1998,2006,4,19
245,C Sharma (INDIA),11,65,63,2835,2336,67,34.86,4.94,42.3,0,0,1983,1994,3,22
246,DT Johnston (IRE),7,67,63,2930,2115,66,32.04,4.33,44.3,1,1,2006,2013,5,14
247,CC Lewis (ENG),8,53,49,2625,1942,66,29.42,4.43,39.7,4,0,1990,1998,4,30
